_ID,TimeSt,Country,Province,City,Latitude,Longitude
5380837,2017-06-21T00:01:06.800Z,CA,ON,Ajax,43.8959,-79.0344
4582578,2017-06-21T00:02:33.737Z,CA,AB,Calgary,51.0494,-113.9564
4939642,2017-06-21T00:30:42.813Z,CA,AB,Edmonton,53.44231,-113.44509
4939445,2017-06-21T00:30:45.343Z,CA,ON,Brampton,43.6971,-79.7944
4966616,2017-06-21T00:32:07.993Z,CA,AB,Saint Albert,53.6334,-113.6353
5259118,2017-06-21T00:52:29.047Z,CA,AB,Edmonton,53.5515,-113.492
5318811,2017-06-21T00:56:05.877Z,CA,AB,Calgary,50.9722,-114.062
4665926,2017-06-21T01:08:35.210Z,CA,AB,Calgary,51.0203,-114.152
4834491,2017-06-21T01:21:48.867Z,CA,QC,Montréal,45.4567,-73.5928
5368201,2017-06-21T02:00:02.437Z,CA,ON,Ottawa,45.3804,-75.7468
5389666,2017-06-21T02:01:54.747Z,CA,MB,Winnipeg,49.893,-97.001
4990414,2017-06-21T02:33:37.523Z,CA,AB,Cochrane,51.1815,-114.468
5418618,2017-06-21T03:04:42.010Z,CA,AB,Red Deer,52.246,-113.791
4925564,2017-06-21T03:29:49.610Z,CA,AB,Nose Creek,54.81701,-119.17056
5393273,2017-06-21T04:02:19.027Z,CA,ON,North Bay,46.3377,-79.3717
5340724,2017-06-21T04:58:08.090Z,CA,AB,Calgary,51.0196,-114.20029
5380011,2017-06-21T05:00:52.463Z,CA,AB,Calgary,51.01509,-114.16269
4653962,2017-06-21T05:07:42.590Z,CA,AB,Calgary,51.0818,-113.959
4725691,2017-06-21T05:13:43.130Z,CA,QC,Sainte-Foy,46.7823,-71.2882
4973131,2017-06-21T05:32:35.050Z,CA,ON,Ottawa,45.444,-75.693
5009655,2017-06-21T05:34:35.830Z,CA,AB,Calgary,51.0196,-114.20029
5369989,2017-06-21T06:00:07.020Z,CA,AB,Calgary,51.1229,-114.189
5534721,2017-06-21T06:16:31.217Z,CA,BC,Langley,49.0997,-122.6526
4841026,2017-06-21T06:22:25.790Z,CA,SK,Saskatoon,52.1418,-106.702
5116251,2017-06-21T06:42:04.587Z,CA,ON,North York,43.787,-79.4169
4643036,2017-06-21T07:07:03.223Z,CA,AB,Red Deer,52.2651,-113.794
4819585,2017-06-21T08:20:42.623Z,CA,MB,Winnipeg,49.893,-97.001
5142382,2017-06-21T08:43:49.200Z,CA,AB,Edmonton,53.5129,-113.623
5205907,2017-06-21T08:48:19.630Z,CA,ON,Toronto,43.6459,-79.3857
5384668,2017-06-21T09:01:24.600Z,CA,AB,Lethbridge,49.6836,-112.834
5451993,2017-06-21T09:08:55.157Z,CA,QC,Gatineau,45.476,-75.6786
5549244,2017-06-21T09:17:38.540Z,CA,MB,Winnipeg,49.9174,-97.2021
4861113,2017-06-21T09:24:03.493Z,CA,ON,Toronto,43.6682,-79.4209
4903386,2017-06-21T09:27:51.610Z,CA,AB,Edmonton,53.58424,-113.41599
4935021,2017-06-21T09:30:35.637Z,CA,ON,Brampton,43.73444,-79.74534
4970224,2017-06-21T09:32:20.377Z,CA,AB,Edmonton,53.41976,-113.53055
4556131,2017-06-21T10:01:36.760Z,CA,ON,Welland,42.9872,-79.2801
4553791,2017-06-21T10:01:36.870Z,CA,ON,Georgetown,43.5976,-79.94
5407588,2017-06-21T10:03:54.923Z,CA,BC,Port Alberni,49.26787,-124.78962
4678583,2017-06-21T10:09:38.293Z,CA,ON,Fort Erie,42.9052,-78.9365
4779797,2017-06-21T10:17:15.920Z,CA,AB,Edmonton,53.60754,-113.48721
4819226,2017-06-21T10:20:40.200Z,CA,ON,North York,43.781,-79.3483
4906987,2017-06-21T10:28:10.303Z,CA,AB,Calgary,51.03875,-113.98519
5144963,2017-06-21T10:44:04.430Z,CA,AB,Calgary,51.0818,-113.959
4551001,2017-06-21T11:01:31.133Z,CA,ON,London,43.0346,-81.2554
4567389,2017-06-21T11:01:51.850Z,CA,ON,Mississauga,43.5869,-79.7559
4714765,2017-06-21T11:12:45.380Z,CA,ON,Belleville,44.1713,-77.3688
5527715,2017-06-21T11:15:48.043Z,CA,SK,Saskatoon,52.116,-106.669
5127296,2017-06-21T11:42:48.120Z,CA,ON,Toronto,43.65728,-79.45112
5134878,2017-06-21T11:43:19.507Z,CA,ON,Brantford,43.1207,-80.2893
4609143,2017-06-21T12:04:44.357Z,CA,AB,Edmonton,53.4579,-113.412
