_ID,TimeSt,Country,Province,City,Latitude,Longitude
4609456,2017-06-21T00:04:46.503-04:00,CA,BC,Richmond,49.18083,-123.12187
4642575,2017-06-21T00:07:03.087-04:00,CA,AB,Coaldale,49.7272,-112.57153
4665055,2017-06-21T00:08:29.877-04:00,CA,AB,Calgary,51.1467,-114.3133
5525837,2017-06-21T00:15:45.473-04:00,CA,ON,Brampton,43.7476,-79.6912
4781924,2017-06-21T00:17:23.733-04:00,CA,BC,Surrey,49.0173,-123.079
4828711,2017-06-21T00:21:18.953-04:00,CA,ON,Burlington,43.3354,-79.8577
4532616,2017-06-21T01:00:44.500-04:00,CA,ON,Toronto,43.6459,-79.3857
5515112,2017-06-21T01:14:44.557-04:00,CA,QC,Montréal,45.4934,-73.5837
4770360,2017-06-21T01:16:43.577-04:00,CA,AB,Edmonton,53.44217,-113.4452
5055304,2017-06-21T01:37:40.177-04:00,CA,ON,Toronto,43.6641,-79.399
5073532,2017-06-21T01:38:55.590-04:00,CA,AB,Calgary,51.01511,-114.16271
5159852,2017-06-21T01:45:05.713-04:00,CA,QC,Sainte-Foy,46.7823,-71.2882
5286247,2017-06-21T01:54:29.290-04:00,CA,ON,Mississauga,43.57,-79.5808
4821445,2017-06-21T02:20:48.880-04:00,CA,ON,Oakville,43.4881,-79.7098
5059218,2017-06-21T02:37:55.070-04:00,CA,ON,North York,43.7534,-79.3272
4628033,2017-06-21T03:06:02.613-04:00,CA,AB,Edmonton,53.4688,-113.508
5430007,2017-06-21T03:06:11.497-04:00,CA,AB,Red Deer,52.2651,-113.794
4687474,2017-06-21T03:10:27.960-04:00,CA,AB,Edmonton,53.44071,-113.58924
5491807,2017-06-21T03:12:31.170-04:00,CA,AB,Spruce Grove,53.54759,-113.93833
5142067,2017-06-21T03:43:49.240-04:00,CA,ON,Minden,45.04782,-78.50426
5165900,2017-06-21T03:45:24.603-04:00,CA,AB,Sherwood Park,53.5263,-113.287
4530905,2017-06-21T04:00:39.110-04:00,CA,AB,Calgary,51.0412,-114.0762
5482236,2017-06-21T04:11:28.507-04:00,CA,QC,Sillery,46.7748,-71.2602
5576312,2017-06-21T04:19:33.997-04:00,CA,ON,Newmarket,44.0587,-79.4591
4909448,2017-06-21T04:28:20.570-04:00,CA,AB,Beaumont,53.3545,-113.414
5204866,2017-06-21T04:48:15.687-04:00,CA,ON,Windsor,42.2307,-83.088
5544377,2017-06-21T05:17:22.773-04:00,CA,ON,Markham,43.8747,-79.2599
5003152,2017-06-21T05:34:24.043-04:00,CA,AB,Edmonton,53.4593,-113.4145
5448168,2017-06-21T06:08:16.540-04:00,CA,ON,Thunder Bay,48.3737,-89.28831
5143482,2017-06-21T06:43:54.000-04:00,CA,AB,Red Deer,52.2698,-113.818
4558675,2017-06-21T07:01:41.133-04:00,CA,AB,Calgary,51.0823,-113.9578
