_ID,TimeSt,Country,Province,City,Latitude,Longitude,Distance,Label
4609456,2017-06-21 00:04:46.503,CA,BC,Richmond,49.18083,-123.12187,826345.2433874706,POI1
4642575,2017-06-21 00:07:03.087,CA,AB,Coaldale,49.7272,-112.57153,429782.03039275936,POI1
4665055,2017-06-21 00:08:29.877,CA,AB,Calgary,51.1467,-114.3133,272966.52157632116,POI1
5525837,2017-06-21 00:15:45.473,CA,ON,Brampton,43.7476,-79.6912,523680.2558541743,POI3
4781924,2017-06-21 00:17:23.733,CA,BC,Surrey,49.0173,-123.079,835706.59028876,POI1
4828711,2017-06-21 00:21:18.953,CA,ON,Burlington,43.3354,-79.8577,556013.3037269552,POI3
4532616,2017-06-21 01:00:44.5,CA,ON,Toronto,43.6459,-79.3857,506294.8212258352,POI3
5515112,2017-06-21 01:14:44.557,CA,QC,Montréal,45.4934,-73.5837,3431.6926881216214,POI3
4770360,2017-06-21 01:16:43.577,CA,AB,Edmonton,53.44217,-113.4452,11884.030538890065,POI1
5055304,2017-06-21 01:37:40.177,CA,ON,Toronto,43.6641,-79.399,506359.53970900184,POI3
5073532,2017-06-21 01:38:55.59,CA,AB,Calgary,51.01511,-114.16271,285499.6509942273,POI1
5159852,2017-06-21 01:45:05.713,CA,QC,Sainte-Foy,46.7823,-71.2882,224817.05784680208,POI3
5286247,2017-06-21 01:54:29.29,CA,ON,Mississauga,43.57,-79.5808,524138.0900444692,POI3
4821445,2017-06-21 02:20:48.88,CA,ON,Oakville,43.4881,-79.7098,537541.9314960437,POI3
5059218,2017-06-21 02:37:55.07,CA,ON,North York,43.7534,-79.3272,496838.81601388543,POI3
4628033,2017-06-21 03:06:02.613,CA,AB,Edmonton,53.4688,-113.508,8737.69697619064,POI1
5430007,2017-06-21 03:06:11.497,CA,AB,Red Deer,52.2651,-113.794,144101.43591361112,POI1
4687474,2017-06-21 03:10:27.96,CA,AB,Edmonton,53.44071,-113.58924,13594.172096442559,POI1
5491807,2017-06-21 03:12:31.17,CA,AB,Spruce Grove,53.54759,-113.93833,29936.03801166488,POI1
5142067,2017-06-21 03:43:49.24,CA,ON,Minden,45.04782,-78.50426,390291.1228778711,POI3
5165900,2017-06-21 03:45:24.603,CA,AB,Sherwood Park,53.5263,-113.287,13332.698368252122,POI1
4530905,2017-06-21 04:00:39.11,CA,AB,Calgary,51.0412,-114.0762,281731.9304692645,POI1
5482236,2017-06-21 04:11:28.507,CA,QC,Sillery,46.7748,-71.2602,226000.99867630046,POI3
5576312,2017-06-21 04:19:33.997,CA,ON,Newmarket,44.0587,-79.4591,493085.14912832814,POI3
4909448,2017-06-21 04:28:20.57,CA,AB,Beaumont,53.3545,-113.414,21859.80126781389,POI1
5204866,2017-06-21 04:48:15.687,CA,ON,Windsor,42.2307,-83.088,846622.5218133446,POI3
5544377,2017-06-21 05:17:22.773,CA,ON,Markham,43.8747,-79.2599,486278.49703605624,POI3
5003152,2017-06-21 05:34:24.043,CA,AB,Edmonton,53.4593,-113.4145,10758.899360780084,POI1
5448168,2017-06-21 06:08:16.54,CA,ON,Thunder Bay,48.3737,-89.28831,1233794.119291041,POI3
5143482,2017-06-21 06:43:54.0,CA,AB,Red Deer,52.2698,-113.818,143824.53984396442,POI1
4558675,2017-06-21 07:01:41.133,CA,AB,Calgary,51.0823,-113.9578,276149.7132476903,POI1
4863048,2017-06-21 07:24:16.437,CA,AB,Calgary,51.03875,-113.98519,281186.329789125,POI1
4869481,2017-06-21 07:24:48.063,CA,AB,Calgary,51.053,-114.161,281315.7377226225,POI1
5061358,2017-06-21 07:38:00.997,CA,AB,Edmonton,53.61652,-113.54001,8614.030856452771,POI1
5301320,2017-06-21 07:55:17.577,CA,ON,Toronto,43.6477,-79.4174,508494.98657175235,POI3
5377627,2017-06-21 08:00:38.597,CA,ON,Ottawa,45.4179,-75.6489,163008.24144769995,POI3
4642428,2017-06-21 08:07:03.733,CA,ON,Kitchener,43.4193,-80.3826,589657.5081497097,POI3
4802300,2017-06-21 08:19:02.44,CA,QC,Châteauguay,45.3492,-73.7353,23308.387230137607,POI3
4988734,2017-06-21 08:33:32.16,CA,AB,Edmonton,53.60754,-113.48698,6832.508523232129,POI1
4999934,2017-06-21 08:34:07.817,CA,ON,Toronto,43.6715,-79.3801,504630.413990472,POI3
